datum,I_d,inc_I_d,cum_I_d,D,inc_D,T
2020-07-19,3.5361529396421933,0.22506915043559853,47.43262107932753,1.4465733649308112,0.007489778685597375,144
2020-07-20,3.7269488815267695,0.4218816769298355,47.854502756257375,1.4465733649308112,0.0,145
2020-07-21,4.084767279878444,0.561301550486556,48.41580430674393,1.4465733649308112,0.0,146
2020-07-22,4.433931786255411,0.6307186939309615,49.0465230006749,1.448538334726169,0.00196496979535797,147
2020-07-23,4.943692254771722,0.8000722948529267,49.84659529552784,1.448538334726169,0.0,148
2020-07-24,5.742581327777174,1.050092140965683,50.896687436493494,1.4606505408084347,0.012112206082265008,149
2020-07-25,6.120992092796628,0.483214756095265,51.37990219258879,1.4672612949790411,0.0066107541706067596,150
2020-07-26,6.485060478642787,0.4549331354815116,51.83483532807029,1.4751575356017104,0.007896240622668863,151
2020-07-27,6.868121074653126,0.7080175849042621,52.54285291297454,1.4757291452419043,0.0005716096401942397,152
2020-07-28,7.497182790957396,1.079801389714307,53.622654302688844,1.488950653583118,0.013221508341213516,153
2020-07-29,8.144939733364447,1.0776998109464755,54.70035411363533,1.4955614077537247,0.006610754170606761,154
2020-07-30,8.972596467613517,1.1937930238333887,55.89414713746872,1.496704627034113,0.001143219280388479,155
2020-07-31,9.16804828348684,0.9273398774601804,56.821487014928884,1.4998885456966884,0.0031839186625748305,156
2020-08-01,9.418636703780221,0.35652852413804553,57.17801553906693,1.4998885456966884,0.0,157
2020-08-02,9.562044420195154,0.29613996783557994,57.474155506902505,1.5129530353656009,0.01306448966891286,158
2020-08-03,9.410149795196368,0.6668409715877598,58.14099647849026,1.5186479749602255,0.0056949395946247145,159
2020-08-04,9.684429292188275,0.8310453962812787,58.972041874771534,1.5305151952437628,0.011867220283537105,160
2020-08-05,9.954231483617974,0.8368096406847472,59.80885151545628,1.5336991139063376,0.003183918662574818,161
2020-08-06,10.041691096818107,0.7803415327952758,60.58919304825156,1.5336991139063376,0.0,162
2020-08-07,10.153061642846714,1.2222971403869785,61.811490188638544,1.5336991139063376,0.0,163
2020-08-08,10.373822795670396,0.5439230346254177,62.355413223263966,1.5336991139063376,0.0,164
2020-08-09,10.574261580879655,0.3946285763583735,62.75004179962232,1.5336991139063376,0.0,165
2020-08-10,9.607603121688165,0.4386702762296786,63.188712075852024,1.5336991139063376,0.0,166
2020-08-11,9.689883342259852,1.0516340053496755,64.24034608120172,1.5423632478327027,0.00866413392636521,167
2020-08-12,9.801211680976335,1.053272293530965,65.29361837473267,1.5423632478327027,0.0,168
2020-08-13,10.102070086152043,1.2580296375041575,66.55164801223684,1.549532099579489,0.00716885174678627,169
2020-08-14,10.179247865810918,1.1364635665576848,67.68811157879453,1.5534362257318524,0.0039041261523633563,170
2020-08-15,10.500567560349047,0.6158900311048918,68.30400160989943,1.5600469799024592,0.006610754170606767,171
2020-08-16,10.773902111427542,0.4680476419793202,68.77204925187873,1.5606185895426532,0.0005716096401942397,172
2020-08-17,10.480177669996127,0.7322776234606637,69.50432687533939,1.5830740733140136,0.022455483771360755,173
2020-08-18,10.703534676302551,1.1865825926204592,70.69090946795987,1.5830740733140136,0.0,174
2020-08-19,11.054930422563134,1.2002590319273785,71.89116849988724,1.594142019497237,0.011067946183223385,175
2020-08-20,11.308044075062394,0.991355041316704,72.88252354120392,1.6112740036864657,0.017131984189228303,176
2020-08-21,12.039632428892586,1.8986573250396035,74.7811808662435,1.6286860796554552,0.017412075968989527,177
2020-08-22,12.65841239824471,0.8090421516008398,75.59022301784434,1.6286860796554552,0.0,178
2020-08-23,12.795812914042886,0.4848441313250931,76.07506714916946,1.6356218483927467,0.006935768737291796,179
2020-08-24,12.770101022619526,1.0555482927051651,77.13061544187461,1.641438088705838,0.005816240313091259,180
2020-08-25,13.217649894906735,1.5922894624577797,78.72290490433241,1.6533107740379862,0.01187268533214822,181
2020-08-26,13.82968942126007,1.528189276657554,80.25109418098998,1.6538823836781806,0.0005716096401942397,182
2020-08-27,13.71288788615404,1.4497508562382655,81.70084503722818,1.6538823836781806,0.0,183
2020-08-28,14.539185918634756,1.972801262826657,83.67364630005487,1.6538823836781806,0.0,184
2020-08-29,15.535960581355846,1.396082211964998,85.06972851201988,1.6695179395290825,0.01563555585090184,185
2020-08-30,16.063366507553805,0.8102658540757822,85.87999436609567,1.6700895491692769,0.0005716096401942397,186
2020-08-31,15.643101604019025,0.9593261670146436,86.83932053311031,1.6706611588094709,0.0005716096401942397,187
2020-09-01,16.673448896168175,2.190513643378554,89.02983417648886,1.6789240903518297,0.008262931542358905,188
2020-09-02,18.407442134826795,2.9581569876771803,91.98799116416608,1.6789240903518297,0.0,189
2020-09-03,19.60990219311311,2.7962115520844275,94.78420271625046,1.7055133563910783,0.02658926603924825,190
2020-09-04,21.5898828787865,3.397710440250961,98.18191315650141,1.7100149056219884,0.004501549230910176,191
2020-09-05,23.32805972843755,2.2560536497555628,100.437966806257,1.7265067361383652,0.016491830516377315,192
2020-09-06,24.24284712541154,1.4658529463554464,101.90381975261243,1.7327649967105099,0.006258260572145031,193
2020-09-07,25.05134442813645,2.718833931199494,104.62265368381199,1.7431217472804803,0.010356750569970184,194
2020-09-08,28.227671323155654,4.757858245103113,109.38051192891506,1.7716315537134901,0.02850980643300931,195
2020-09-09,31.535128241733904,4.80052301847883,114.18103494739387,1.7826994998967132,0.011067946183223362,196
2020-09-10,34.987920142854506,5.992971410379847,120.1740063577738,1.8138133205768,0.031113820680086317,197
2020-09-11,37.78357792001536,6.451029962202496,126.62503631997619,1.832182052375116,0.018368731798316086,198
2020-09-12,41.301820192223026,6.380473422264598,133.00550974224086,1.8743245341476091,0.04214248177249343,199
2020-09-13,41.37844730820827,2.9963039239890734,136.00181366622985,1.8856114755338196,0.01128694138621035,200
2020-09-14,41.27018690306674,4.266954841968194,140.26876850819812,1.9187060840359949,0.03309460850217493,201
2020-09-15,46.712700436247864,7.921565047766112,148.19033355596417,1.9987745258767515,0.08006844184075708,202
2020-09-16,54.72478826341722,9.556209834686687,157.74654339065088,2.0573087761594544,0.058534250282702274,203
